
[Name]
IGV Blade

[Data]
X [ m ], Y [ m ], Z [ m ]
1.49158360e-02, 2.48891771e-01, 8.91251897e-04
1.49331195e-02, 2.48665437e-01, 8.93906225e-04
1.57215204e-02, 2.49690995e-01, 8.43445538e-04
1.57399960e-02, 2.49468908e-01, 8.45927920e-04
1.65161788e-02, 2.50479192e-01, 7.92082283e-04
1.65358242e-02, 2.50261396e-01, 7.94381136e-04
1.72959231e-02, 2.51252562e-01, 7.37866270e-04
1.73167270e-02, 2.51038998e-01, 7.39971816e-04
1.80560444e-02, 2.52006412e-01, 6.81590929e-04
1.80779677e-02, 2.51797050e-01, 6.83496590e-04
1.87887587e-02, 2.52733052e-01, 6.24343520e-04
1.88117716e-02, 2.52527773e-01, 6.26046152e-04
1.94811374e-02, 2.53419638e-01, 5.67704381e-04
1.95051450e-02, 2.53218204e-01, 5.69209980e-04
2.01128013e-02, 2.54045933e-01, 5.14004962e-04
2.01376453e-02, 2.53848016e-01, 5.15329128e-04
1.49971084e-03, 2.35789239e-01, 5.42935333e-04
2.00324622e-03, 2.36328125e-01, 6.17188984e-04
2.56520743e-03, 2.36929789e-01, 6.93015172e-04
3.18963267e-03, 2.37570018e-01, 7.68595783e-04
3.85766826e-03, 2.38245636e-01, 8.39198416e-04
4.55675414e-03, 2.38952622e-01, 9.01863095e-04
5.28862886e-03, 2.39677519e-01, 9.55771364e-04
6.04236452e-03, 2.40422189e-01, 9.99367679e-04
6.81254268e-03, 2.41183087e-01, 1.03230716e-03
7.59662176e-03, 2.41957650e-01, 1.05476903e-03
8.39139614e-03, 2.42742792e-01, 1.06722396e-03
9.19407140e-03, 2.43535623e-01, 1.07028871e-03
1.00025777e-02, 2.44334206e-01, 1.06470508e-03
1.08159008e-02, 2.45137483e-01, 1.05121348e-03
1.16320876e-02, 2.45943546e-01, 1.03050075e-03
1.24497600e-02, 2.46751040e-01, 1.00323942e-03
1.32675739e-02, 2.47558624e-01, 9.70024557e-04
1.40832784e-02, 2.48364106e-01, 9.31442075e-04
1.48949344e-02, 2.49165490e-01, 8.88041686e-04
1.56991780e-02, 2.49959558e-01, 8.40443070e-04
1.64924208e-02, 2.50742614e-01, 7.89301703e-04
1.72707662e-02, 2.51510829e-01, 7.35319394e-04
1.80295315e-02, 2.52259612e-01, 6.79285673e-04
1.87609289e-02, 2.52981305e-01, 6.22283784e-04
1.94521062e-02, 2.53663242e-01, 5.65884460e-04
2.00827569e-02, 2.54285246e-01, 5.12409199e-04
1.50210818e-03, 2.36217991e-01, 5.41119138e-04
2.00505345e-03, 2.36753300e-01, 6.14968536e-04
2.56609567e-03, 2.37350851e-01, 6.90348679e-04
3.18927481e-03, 2.37986624e-01, 7.65463861e-04
3.85587709e-03, 2.38657504e-01, 8.35627841e-04
4.55345679e-03, 2.39359468e-01, 8.97911901e-04
5.28370636e-03, 2.40079224e-01, 9.51498863e-04
6.03578100e-03, 2.40818560e-01, 9.94845293e-04
6.80427905e-03, 2.41573989e-01, 1.02760259e-03
7.58667430e-03, 2.42342934e-01, 1.04994827e-03
8.37975368e-03, 2.43122354e-01, 1.06234441e-03
9.18074884e-03, 2.43909359e-01, 1.06540357e-03
9.98757035e-03, 2.44702041e-01, 1.05985999e-03
1.07992077e-02, 2.45499328e-01, 1.04644976e-03
1.16137024e-02, 2.46299326e-01, 1.02585403e-03
1.24296686e-02, 2.47100711e-01, 9.98742762e-04
1.32457679e-02, 2.47902095e-01, 9.65706888e-04
1.40597355e-02, 2.48701394e-01, 9.27330460e-04
1.48696573e-02, 2.49496520e-01, 8.84160749e-04
1.56721584e-02, 2.50284344e-01, 8.36814754e-04
1.64636876e-02, 2.51061141e-01, 7.85944459e-04
1.72403418e-02, 2.51823157e-01, 7.32249522e-04
1.79974679e-02, 2.52565801e-01, 6.76515687e-04
1.87272783e-02, 2.53281564e-01, 6.19822356e-04
1.94170009e-02, 2.53957838e-01, 5.63726062e-04
2.00464297e-02, 2.54574686e-01, 5.10532875e-04
1.50501111e-03, 2.36736491e-01, 5.38900378e-04
2.00724136e-03, 2.37267479e-01, 6.12257456e-04
2.56717182e-03, 2.37860069e-01, 6.87095511e-04
3.18884337e-03, 2.38490433e-01, 7.61646137e-04
3.85371293e-03, 2.39155591e-01, 8.31279263e-04
4.54947120e-03, 2.39851490e-01, 8.93103541e-04
5.27775520e-03, 2.40565017e-01, 9.46303655e-04
6.02782099e-03, 2.41297901e-01, 9.89350490e-04
6.79428736e-03, 2.42046729e-01, 1.02189172e-03
7.57464627e-03, 2.42808864e-01, 1.04410178e-03
8.36567581e-03, 2.43581384e-01, 1.05643226e-03
9.16463882e-03, 2.44361326e-01, 1.05949026e-03
9.96942073e-03, 2.45146886e-01, 1.05400046e-03
1.07790213e-02, 2.45936900e-01, 1.04069361e-03
1.15914689e-02, 2.46729583e-01, 1.02024421e-03
1.24053722e-02, 2.47523561e-01, 9.93319089e-04
1.32193975e-02, 2.48317480e-01, 9.60505160e-04
1.40312640e-02, 2.49109283e-01, 9.22383915e-04
1.48390885e-02, 2.49896839e-01, 8.79500178e-04
